doc_id,domain,char_length,word_count,sentence_count,title_length,title,entity_count,relation_count
Economy_1,Unknown,0,0,0,25,Central_bank_independence,8,7
Economy_2,Unknown,0,0,0,16,Consumer_economy,44,22
Economy_3,Unknown,0,0,0,18,Consumer_education,27,19
Economy_4,Unknown,0,0,0,12,Data_culture,16,15
Economy_5,Unknown,0,0,0,19,Economic_consulting,8,5
Economy_6,Unknown,0,0,0,7,Economy,8,5
Economy_7,Unknown,0,0,0,13,Law_of_supply,26,24
Economy_8,Unknown,0,0,0,15,Necrocapitalism,15,11
Economy_9,Unknown,0,0,0,11,New_economy,34,11
Economy_10,Unknown,0,0,0,29,Primary_sector_of_the_economy,13,11
Economy_11,Unknown,0,0,0,17,Registered_office,7,6
Economy_12,Unknown,0,0,0,17,Sabbath_economics,11,6
Economy_13,Unknown,0,0,0,12,Silent_trade,25,14
Engineering_1,Unknown,0,0,0,18,Amasa_Stone_Bishop,28,19
Engineering_0,Unknown,0,0,0,7,ARP4761,12,10
Engineering_2,Unknown,0,0,0,17,Bug_(engineering),15,14
Engineering_4,Unknown,0,0,0,24,Engineering_technologist,26,23
Engineering_3,Unknown,0,0,0,19,Gravimetric_blender,17,16
Engineering_5,Unknown,0,0,0,22,History_of_engineering,53,27
Engineering_6,Unknown,0,0,0,53,History_of_women_in_engineering_in_the_United_Kingdom,73,39
Engineering_7,Unknown,0,0,0,28,Mineral_Products_Association,18,14
Engineering_8,Unknown,0,0,0,33,Pressure_Equipment_Directive_(EU),16,12
Engineering_9,Unknown,0,0,0,15,Resilience_week,12,14
Engineering_10,Unknown,0,0,0,33,Social_construction_of_technology,27,15
Engineering_11,Unknown,0,0,0,55,"Tests_of_Engineering_Aptitude,_Mathematics,_and_Science",7,6
Engineering_12,Unknown,0,0,0,31,Washington_Accord_(credentials),32,30
Food_and_drink_0,Unknown,0,0,0,7,Custard,40,21
Food_and_drink_1,Unknown,0,0,0,23,Dairy_in_the_New_Garden,15,10
Food_and_drink_2,Unknown,0,0,0,8,Drinking,17,10
Food_and_drink_3,Unknown,0,0,0,10,Energy_gel,13,9
Food_and_drink_4,Unknown,0,0,0,16,Food_engineering,86,27
Food_and_drink_5,Unknown,0,0,0,9,Irreechaa,20,14
Food_and_drink_6,Unknown,0,0,0,6,Liquor,8,34
Food_and_drink_7,Unknown,0,0,0,21,Night_of_the_Radishes,23,11
Food_and_drink_8,Unknown,0,0,0,10,Pagophagia,20,13
Food_and_drink_9,Unknown,0,0,0,28,Wilderness-acquired_diarrhea,12,14
Geography_0,Unknown,0,0,0,11,Age_of_Sail,27,19
Geography_1,Unknown,0,0,0,20,Churbaierische_Atlas,19,9
Geography_2,Unknown,0,0,0,24,Five_themes_of_geography,18,9
Geography_3,Unknown,0,0,0,28,Four_traditions_of_geography,15,11
Geography_4,Unknown,0,0,0,13,Geography_Cup,36,14
Geography_5,Unknown,0,0,0,20,Jebel_Akhdar_(Libya),28,16
Geography_6,Unknown,0,0,0,12,Land_systems,14,8
Geography_7,Unknown,0,0,0,28,Rosgen_Stream_Classification,19,6
Health_0,Unknown,0,0,0,32,Anxiety_buffer_disruption_theory,11,9
Health_1,Unknown,0,0,0,28,Bioenvironmental_Engineering,33,25
Health_2,Unknown,0,0,0,42,Homeschooling_during_the_COVID-19_pandemic,19,16
Health_3,Unknown,0,0,0,8,Kate_Rew,28,20
Health_4,Unknown,0,0,0,18,Open-air_treatment,11,10
Health_5,Unknown,0,0,0,27,Patient_management_software,19,11
Health_6,Unknown,0,0,0,28,Smell_as_evidence_of_disease,33,31
Health_7,Unknown,0,0,0,23,Value-based_health_care,20,11
History_0,Unknown,0,0,0,17,Archival_research,41,19
History_1,Unknown,0,0,0,9,Cosmogony,30,20
History_2,Unknown,0,0,0,16,Cultural_history,37,24
History_3,Unknown,0,0,0,21,Dawid_Moryc_Apfelbaum,25,11
History_4,Unknown,0,0,0,21,History_of_Tat_people,39,32
History_5,Unknown,0,0,0,26,Hugh_Llewellyn_Keenleyside,26,19
History_6,Unknown,0,0,0,45,International_Students_of_History_Association,40,18
History_7,Unknown,0,0,0,41,List_of_preserved_historic_blast_furnaces,13,8
History_8,Unknown,0,0,0,20,National_History_Day,23,11
History_9,Unknown,0,0,0,42,North_American_Society_for_Oceanic_History,28,19
Humanities_0,Unknown,0,0,0,15,Bells_on_Sunday,11,9
Humanities_1,Unknown,0,0,0,11,Book_desert,19,11
Humanities_2,Unknown,0,0,0,10,Cretan_Lie,16,12
Humanities_3,Unknown,0,0,0,24,Development_anthropology,22,8
Humanities_4,Unknown,0,0,0,29,Digital_Humanities_conference,14,7
Humanities_5,Unknown,0,0,0,10,Eskimology,29,17
Humanities_7,Unknown,0,0,0,19,Gender_and_politics,26,22
Humanities_6,Unknown,0,0,0,24,GLAM_(cultural_heritage),18,10
Humanities_8,Unknown,0,0,0,14,Nature_writing,37,24
Humanities_9,Unknown,0,0,0,15,Social_practice,11,9
Humanities_10,Unknown,0,0,0,29,Uncertainty_management_theory,14,9
Information_0,Unknown,0,0,0,22,Adversarial_stylometry,24,12
Information_1,Unknown,0,0,0,37,Animal_rights_by_country_or_territory,45,9
Information_2,Unknown,0,0,0,18,Belgrade_IT_sector,24,19
Information_4,Unknown,0,0,0,5,E-GMS,11,8
Information_3,Unknown,0,0,0,13,Coinmarketcap,17,9
Information_5,Unknown,0,0,0,10,Fact_sheet,10,7
Information_6,Unknown,0,0,0,19,Geospatial_topology,17,9
Information_7,Unknown,0,0,0,11,Ghost_shoes,38,16
Information_8,Unknown,0,0,0,37,Information_Centre_on_NATO_in_Armenia,13,10
Information_9,Unknown,0,0,0,8,Othernet,44,18
Information_10,Unknown,0,0,0,9,Tip_sheet,11,10
Information_12,Unknown,0,0,0,17,Virtual_data_room,31,15
Information_11,Unknown,0,0,0,24,White_House_visitor_logs,23,17
Knowledge_0,Unknown,0,0,0,30,Cognitive_closure_(philosophy),18,7
Knowledge_1,Unknown,0,0,0,20,Community_of_inquiry,15,11
Knowledge_2,Unknown,0,0,0,41,Consumerization_of_information_technology,17,15
Knowledge_3,Unknown,0,0,0,11,Ed_Goodgold,24,14
Knowledge_4,Unknown,0,0,0,23,Electronic_lab_notebook,47,30
Knowledge_5,Unknown,0,0,0,8,Episteme,12,7
Knowledge_7,Unknown,0,0,0,43,Hermathena (composite of Hermes and Athena),15,12
Knowledge_6,Unknown,0,0,0,27,Free-floating_intellectuals,10,6
Knowledge_8,Unknown,0,0,0,6,Hikmah,17,17
Knowledge_9,Unknown,0,0,0,31,Intellectual_capital_management,12,9
Knowledge_11,Unknown,0,0,0,16,Knowledge_broker,14,15
Knowledge_10,Unknown,0,0,0,24,Knowledge_Economic_Index,10,7
Knowledge_12,Unknown,0,0,0,15,Leisure_studies,25,16
Knowledge_13,Unknown,0,0,0,19,Relative_age_effect,27,13
Knowledge_14,Unknown,0,0,0,22,Social_work_management,32,11
Knowledge_15,Unknown,0,0,0,25,Social–emotional_learning,18,13
Language_0,Unknown,0,0,0,9,Agbirigba,5,7
Language_1,Unknown,0,0,0,10,Balaibalan,16,12
Language_2,Unknown,0,0,0,10,Bot_Colony,19,11
Language_3,Unknown,0,0,0,23,Chinese_Poetry_Congress,25,13
Language_4,Unknown,0,0,0,20,Comparative_Semitics,31,13
Language_5,Unknown,0,0,0,51,Directorate_of_Language_Planning_and_Implementation,28,21
Language_6,Unknown,0,0,0,19,Linguistic_distance,31,26
Language_7,Unknown,0,0,0,6,Patter,17,12
Language_8,Unknown,0,0,0,22,Radical_interpretation,9,7
Language_9,Unknown,0,0,0,12,Unicode_font,14,13
Law_0,Unknown,0,0,0,17,Carceral_feminism,25,22
Law_1,Unknown,0,0,0,26,Continuing_legal_education,23,13
Law_2,Unknown,0,0,0,25,European_Judicial_Network,18,8
Law_3,Unknown,0,0,0,17,Judicial_populism,16,9
Law_4,Unknown,0,0,0,10,Law_French,25,18
Law_5,Unknown,0,0,0,10,Legal_risk,9,6
Law_6,Unknown,0,0,0,36,Legal_status_of_psilocybin_mushrooms,30,16
Law_7,Unknown,0,0,0,33,New_York_Anti-Secession_Ordinance,31,22
Law_8,Unknown,0,0,0,36,The_Justice_of_Trajan_and_Herkinbald,20,12
Law_9,Unknown,0,0,0,11,Trigger_law,36,35
Life_0,Unknown,0,0,0,16,Anthropopithecus,29,29
Life_1,Unknown,0,0,0,16,Formose_reaction,24,25
Life_2,Unknown,0,0,0,16,Incorruptibility,17,11
Life_3,Unknown,0,0,0,35,Infections_associated_with_diseases,14,10
Life_4,Unknown,0,0,0,6,Nanobe,13,11
Life_5,Unknown,0,0,0,17,Non-cellular_life,28,13
Life_6,Unknown,0,0,0,8,Organism,29,26
Life_7,Unknown,0,0,0,16,Oxygen_evolution,20,9
Life_8,Unknown,0,0,0,14,Pioneer_plaque,31,16
Life_9,Unknown,0,0,0,17,Survivorship_bias,23,10
Life_10,Unknown,0,0,0,22,Tree_of_life_(biology),24,19
Mathematics_0,Unknown,0,0,0,15,Akira_Yoshizawa,21,15
Mathematics_1,Unknown,0,0,0,21,Ethics_in_mathematics,13,8
Mathematics_2,Unknown,0,0,0,25,George_Gheverghese_Joseph,17,9
Mathematics_3,Unknown,0,0,0,20,Mathematical_diagram,20,11
Mathematics_4,Unknown,0,0,0,13,Mathematician,32,21
Military_0,Unknown,0,0,0,4,Army,12,9
Military_1,Unknown,0,0,0,48,Conduct_prejudicial_to_good_order_and_discipline,20,10
Military_2,Unknown,0,0,0,11,Disarmament,28,20
Military_3,Unknown,0,0,0,15,History_Channel,14,13
Military_4,Unknown,0,0,0,47,Impact_of_the_COVID-19_pandemic_on_the_military,16,12
Military_5,Unknown,0,0,0,14,Justus_Lipsius,43,26
Military_6,Unknown,0,0,0,30,Military–entertainment_complex,27,20
Military_7,Unknown,0,0,0,14,Railway_troops,26,19
Military_8,Unknown,0,0,0,24,Training_Within_Industry,31,24
Nature_0,Unknown,0,0,0,10,Bast_fibre,41,40
Nature_1,Unknown,0,0,0,13,Dicerandrol_C,10,10
Nature_3,Unknown,0,0,0,8,Homeosis,20,16
Nature_4,Unknown,0,0,0,18,Jaramillo_reversal,12,5
Nature_5,Unknown,0,0,0,14,Lofoten_Vortex,15,9
Nature_6,Unknown,0,0,0,6,Mfinda,16,15
Nature_7,Unknown,0,0,0,20,Rangeland_management,36,32
Nature_8,Unknown,0,0,0,12,Swamp_Legend,27,15
People_0,Unknown,0,0,0,43,Bibliography_of_Abul_Hasan_Ali_Hasani_Nadwi,8,5
People_1,Unknown,0,0,0,35,Coat_of_arms_of_the_Prince_of_Wales,29,18
People_2,Unknown,0,0,0,18,Dilorom_Yuldosheva,6,5
People_3,Unknown,0,0,0,12,Favorite_son,8,5
People_4,Unknown,0,0,0,12,Grammar_Nazi,13,10
People_5,Unknown,0,0,0,12,Jesús_García,14,15
People_6,Unknown,0,0,0,25,Master–slave_(technology),20,12
People_7,Unknown,0,0,0,6,People,28,22
People_8,Unknown,0,0,0,6,Person,13,13
People_9,Unknown,0,0,0,50,Section_Eleven_of_the_Constitution_of_South_Africa,20,16
Philosophy_0,Unknown,0,0,0,28,Cryptoterrestrial_hypothesis,42,22
Nature_2,Unknown,0,0,0,11,Green_flash,19,18
Philosophy_1,Unknown,0,0,0,12,Harald_Lesch,40,23
Philosophy_2,Unknown,0,0,0,19,John_Locke_Lectures,14,8
Philosophy_3,Unknown,0,0,0,15,Karen_Detlefsen,10,7
Philosophy_4,Unknown,0,0,0,13,Naive_realism,24,15
Philosophy_5,Unknown,0,0,0,10,Philosophy,9,11
Philosophy_6,Unknown,0,0,0,23,Virtuality_(philosophy),15,10
Religion_0,Unknown,0,0,0,30,Christianity_and_animal_rights,18,15
Religion_1,Unknown,0,0,0,19,Counter-apologetics,16,11
Religion_2,Unknown,0,0,0,6,El_Tío,9,8
Religion_3,Unknown,0,0,0,21,Flushing_Remonstrance,35,21
Religion_4,Unknown,0,0,0,15,Gaia_philosophy,36,14
Religion_5,Unknown,0,0,0,14,Joshua_Project,14,7
Religion_6,Unknown,0,0,0,17,Religion_in_space,73,26
Religion_7,Unknown,0,0,0,18,Religious_identity,12,10
Religion_8,Unknown,0,0,0,26,Ritual_behavior_in_animals,18,18
Religion_9,Unknown,0,0,0,15,Siladhara_Order,26,19
Science_0,Unknown,0,0,0,9,AllTrials,30,13
Science_1,Unknown,0,0,0,39,Classification_of_the_sciences_(Peirce),25,22
Science_2,Unknown,0,0,0,30,Geographic_information_science,29,17
Science_3,Unknown,0,0,0,53,Life-cycle_greenhouse_gas_emissions_of_energy_sources,30,27
Science_4,Unknown,0,0,0,21,Open-notebook_science,17,14
Science_5,Unknown,0,0,0,36,Roatan_Institute_for_Marine_Sciences,11,11
Science_6,Unknown,0,0,0,24,Science_in_Action_(book),14,14
Science_7,Unknown,0,0,0,9,Scientist,45,42
Science_8,Unknown,0,0,0,17,Sonnet_to_Science,9,7
Sports_0,Unknown,0,0,0,27,2024_Orienteering_World_Cup,21,15
Sports_1,Unknown,0,0,0,10,Blood_rule,6,5
Sports_2,Unknown,0,0,0,31,Combined_track_and_field_events,17,12
Sports_3,Unknown,0,0,0,16,Ground_billiards,45,34
Sports_4,Unknown,0,0,0,18,Lamex_Omara_Apitta,13,9
Sports_5,Unknown,0,0,0,21,Revival_(sports_team),23,19
Sports_6,Unknown,0,0,0,16,Sporting_colours,13,10
Sports_7,Unknown,0,0,0,44,The_Foundation_for_Global_Sports_Development,32,20
Sports_8,Unknown,0,0,0,19,The_Sporting_Spirit,19,11
Technology_0,Unknown,0,0,0,19,Creative_technology,35,31
Technology_1,Unknown,0,0,0,19,Developer_relations,30,25
Technology_2,Unknown,0,0,0,10,Food_model,25,16
Technology_3,Unknown,0,0,0,9,Geomatics,42,12
Technology_4,Unknown,0,0,0,39,History_of_timekeeping_devices_in_Egypt,14,9
Technology_5,Unknown,0,0,0,11,Wei-Ying_Ma,55,27
Universe_0,Unknown,0,0,0,9,Cosmology,43,21
Universe_1,Unknown,0,0,0,12,Global_brain,34,20
Universe_4,Unknown,0,0,0,8,Hardness,19,11
Universe_2,Unknown,0,0,0,27,International_communication,25,17
Universe_3,Unknown,0,0,0,15,Negative_energy,28,16
